Salary_Id	Emp_Id	Emp_Salary_Change_Year	Emp_Salary
1	1	2000-01-10 00:00:00.000	65000.00
2	2	2005-02-20 00:00:00.000	75000.00
3	3	2010-01-03 00:00:00.000	85000.00
4	4	2005-01-01 00:00:00.000	35000.00
5	5	2006-01-01 00:00:00.000	40000.00
6	6	2011-01-01 00:00:00.000	90000.00
7	7	2005-10-10 00:00:00.000	28000.00
8	8	2008-09-10 00:00:00.000	56000.00
9	9	2000-06-09 00:00:00.000	105000.00
10	10	2002-07-01 00:00:00.000	185000.00
11	11	2001-01-01 00:00:00.000	78500.00
12	12	2002-01-01 00:00:00.000	89200.00
13	13	2003-01-01 00:00:00.000	115500.00
14	14	2005-01-01 00:00:00.000	156000.00
15	15	2006-01-01 00:00:00.000	67000.00
16	16	2009-01-01 00:00:00.000	76000.00
